No;Name;Grade;Year
72;IHMGSOA WKHCZTA;0.37087073;1972
73;SRSKNMM VQRRVGV;4.075077411;1907
74;FNIYVBY CARAIAZ;0.312182719;1911
75;VNAMRKG NGBVRUW;2.440782208;1937
76;IFMHYVM NNUVBAD;5.486147344;1935
77;SAGZTSJ KUYGZZC;6.411137315;1994
78;EQSROQS YRUVYGB;8.198430919;1935
79;RGXGCVU XIOAAKO;8.484715322;1945
80;EIHFQIY AMPWHHA;4.015056474;1954
81;UBQFXGQ XGSCYIA;5.541677225;1988
82;FSAQPJQ CWCLSRZ;6.698127196;1925
83;ZVWUIHZ BVDHFKV;9.179899623;1980
84;EUNBRZR JUUVXGW;5.586121714;1967
85;UGKEYIT HGCTFDX;9.917146352;1928
86;SDCCZPI GDVORVI;2.425620849;2014
87;HDFLMFP GLWEFVJ;7.742465737;1992
88;IIXDCVO WTHWXHN;4.056688962;1912
89;CKJWRBP TYDXNRK;0.566894054;1912
90;TIJEMUK NUWGLLQ;6.605785068;1988
91;LADJOBL OXZZGPX;4.808556093;1976
92;OFLQCCG DEUZAOE;9.516655367;1933
93;WRQDAPE RQBDJPW;6.364377708;2019
94;JAJBHQL VUIQCJL;9.40260532;1903
95;OKRVXCA MLFVATZ;3.619273504;1971
96;HELKDKZ XWLOGRS;4.725293466;1921
97;MFLSFOI LOWKWEN;7.579193832;1982
98;SLXQQMZ FCZGMAK;2.430540877;1903
99;WWERLER NQNNBXI;1.74946437;2001
100;FZCSAJH JQWTVWV;2.725634846;2012
101;OEAVQVF PHFYRRK;6.544184777;2002
102;SURLFNT SCSRIHR;3.692756237;2004
103;SSRXNHQ OVCSZSS;6.650258208;1938
104;FDUALWF NZUBGDN;9.722456934;1911
105;FTAMNHE TBBCEHS;9.872189108;1954
106;JWAINYR QFPCPSU;4.429858857;1913
107;OMOATMC AQKTCQA;3.612661277;1922
108;LZJVSJE ZNTBPZP;4.436533711;1991
109;PZFIHCL QGSJRZT;6.406118565;1942
110;MPSBMFW ZDZYLJV;2.54350521;1982
111;YJBJCIW OLIUAQI;0.212700263;1974
112;BRXCVUM RSPPDMF;6.328093733;1991
113;ICHOVHW OGDOKXJ;7.68256143;1969
114;BAPQZBI FTLSHZR;8.839301041;2004
115;MIFOEXI DVBIGYF;1.682648047;1954
116;JKIFJGS ONJUJWP;1.036515599;1900
117;BKDETGK OISZECY;5.158720761;1913
118;EDUKWVP WJVLHYC;6.403720687;1975
119;TAAZGYN UAEUWMG;1.797664949;1984
120;ZUCZHHM DQIQNOP;3.158195435;1977
121;XZTUBEI IHORFSE;6.80305491;1965
122;EPPJFQH PNETSHF;4.39494701;1992
123;NMWRJQX KEJJDBA;3.37780891;1943
124;OXPBOKA XVFPZDN;3.026421233;2019
125;OZKRTPY LBSHGFK;2.935125884;2002
126;TKWINHI GJMNYHD;1.364537216;1936
127;YPHOUTQ ZQLWAVS;7.813433761;1937
128;QIQKNRJ KOPPUVG;0.645310507;1949
129;QLQQLMD XKMMEYD;0.187300373;1942
130;NWLAACK ZIIHPKQ;6.747832526;1948
131;XIILTRU BSYZZAO;9.043491712;1974
132;WGWHDWL DAWOPAQ;5.220208863;1932
133;CBOBQRA OJTDMTX;6.487686464;1955
134;ITVIGNU HNVNXGF;2.182266394;1929
135;MJWRBWI PDZLWBY;9.251728347;1912
136;FIPTCQT FMCTKGM;7.971162952;1936
137;HXJAEJC SCROJBS;6.174702128;1987
138;KHRNAGH NTBDUCU;7.773808037;1916
139;OUYROMW AIVCDMF;2.744375254;1996
140;ZWKFQFN IASEYNZ;3.9582335;1935
141;GISSQUA HBRUFST;7.499196874;1992
142;MIKJEHC KGLNGKG;6.629511205;1962
143;VIDILTE MMSUWJM;2.460318516;1938
144;KVVZMQU MTCWXVO;5.571546922;1960
145;XXRWMWK NCUMXWD;7.69876147;1972
146;XACHIEE IYRHLXH;9.689442948;1954
147;AAUNGRP WGBTFWJ;6.130448784;1963
148;SCMWAPN YQNUBOG;4.605392751;2019
149;PGVDNGY MPMXHBC;2.35568032;1993
150;KNHUKOQ GFEJQYY;5.375711586;1979
151;SGPWNGN JKEJSYL;9.88972915;1923
152;FWFIOZM OMCWDOZ;5.524780842;1949
153;JUTBRTC MRSCKMV;7.423028539;1996
154;WMWMXZG NQBSVAQ;5.347673749;2007
155;ZABKMKB MBGFWIE;9.042339944;1987
156;GHIXSOI SFMHNER;4.665429576;2007
157;GMHSUAC UWBGUHM;3.135898451;1989
158;XZMITPW VWNPQZE;9.960333341;1961
159;RRUUSQJ NQHJCXF;6.790938627;1905
160;KTEZRQV JLHGLZQ;8.904001535;1961
161;VSNCNOG GRCZCED;7.357410481;1922
162;UQLTSWS HEBJZVS;1.396010365;1978
163;VCWHNWZ WUKHCUX;8.576076199;1978
164;BLRYRMM NERHABA;7.734905646;1919
165;FORZAZZ XREWKUI;4.711230276;2018
166;HQXCSXL OKJGTDB;8.648068329;2013
167;LJHGQJO WJUXWRL;1.521578074;2012
168;UXZVRPI LQZHLIV;7.154820209;1904
169;DRTTBUG ZIFAXNT;1.299752666;1914
170;NIRATLI OOEAHTL;4.413406733;1966
171;OHCTMKE FDBEQRA;8.840943362;1923
172;XFWYBZU QIWNITJ;9.041055909;2002
173;LYGCJGO LYUMIRA;3.114491743;2015
174;XETKUYN ZUYKVLZ;4.560971673;2002
175;MUTRCEV MZMGIIA;8.318190267;1985
176;HHTQYGE EKWBHKF;2.72747516;1978
177;NCDOGBD OXPNOSI;4.488873021;1988
178;OVNDQBR ZKIZWEB;2.316210409;1939
179;LTZNOXA GBJRFFD;6.308838536;1910
180;BQVWQVQ NWJQJBA;6.892282901;1961
181;RUNSBKO LDERKOU;8.463844219;2006
182;UITMIOR TTCQVRH;1.939821455;1952
183;BUXLQWF MFRKXZE;1.215885481;1907
184;YXXESSA QXEIXOX;3.525227001;1913
185;RABQJTV BRITYAC;9.017483002;1988
186;VOSGKXV XEABITN;8.294025679;1908
187;ZRZMIRK AVVOZKR;8.992678165;1906
188;PMCSLWW VQXQVVR;5.328169103;1965
189;WNLSIDL TRTHGTQ;8.693031896;1903
190;QNFNELS ULHBBKT;1.240863804;1946
191;NRKQGWH WYUYUMB;4.490385536;2018
192;OZHDJDH IRROBSH;2.523312778;1945
193;XXBPFFS NMLZFXY;0.330741783;2004
194;RETAZZA HYYBCKB;0.106984707;1988
195;FKGBHFX VDTPNDG;0.138397784;1918
196;MMVJQCH KMRLUES;7.618966969;2006
197;YMWSDXD AHCYVTK;2.221602358;1917
198;OXQAVIK GSTJTBR;3.461207101;1958
199;FYDUHWT ICBJYQF;7.395506159;1921
200;ELUVTGQ TZEUBXI;7.726180949;2006
201;OLPJVXV DSNHZIQ;4.373433047;1981
202;CHEEEUM JWFPSKN;6.660622685;1949
203;VTXSXGE ZMYMXYJ;2.735295637;1905
204;FJITGLD BCXAYHQ;7.767808871;2014
205;ESBOZKA XDKCYML;8.171310191;2012
206;WINLYUX BLTDLBR;1.582788691;1977
207;ZQWIPWK LPUDKDL;7.584114171;1956
208;XYIOXPL MAEBBOJ;0.209831126;1977
209;ZNEPTFU JADYEGM;8.355676045;1981
210;OPGEQIN XMHOQQV;2.210450001;1967
211;XLKAKWB MVBIDHH;0.503659007;1919
212;UFTUFCZ NIYTKNJ;6.429272893;1956
213;XQOAFDP RPBDPTY;7.098649699;1902
214;NEKSLMK OSSXNDR;8.557534298;1973
215;ZMSJLQE NDUKRAF;2.648187994;2018
216;FCDPXJP GFUWBRK;7.884193061;1900
217;ZUJYDUP AGJZCOK;7.379759698;1954
218;BMECZZS LYCQGSJ;5.915775929;1990
219;EBCDAJF WXKQYMF;7.597354082;1983
220;KMUAGFD JTHYTQR;8.390227513;1997
221;BFJPUQX ZLNDEOW;2.060671681;2013
222;HTYHVJR WGHYFMU;0.192448211;2001
223;ETFNWNO WJIPIGC;7.275868382;1921
224;CFXXLSY IFZWSBF;5.388258236;1993
225;SJLMMJQ LBFCOVT;4.606898086;2014
226;GSIABAX GYGVZAZ;4.842941343;1964
227;OYJPUOZ VLTCJAQ;0.378281138;1916
228;JLRBDUQ QFMKIOI;7.374063718;1941
229;MUKMLHG GEXIOLK;2.673757103;1954
230;VHPTKTS JTHHZQW;2.882294911;1967
231;PPZTVOS ZOTADUR;3.064303014;1949
232;OBOPTJZ JJWZTZY;2.221544577;1985
233;JIVFTGB RSKIPAZ;9.822829901;1946
234;YFMQSJY LFPLHEU;6.470721851;2007
235;LNCNLHL NMWABUC;9.502582765;1931
236;ZEGHNEX SEUSZNP;6.02616274;1991
237;VBTQOLC UCAICIF;2.871713072;1957
238;EZZRRTZ BAMYMOW;1.838980704;1908
239;VSOTUMA WDDQHPV;7.944210345;1972
240;SFHRYOD MHDFRKN;9.525694055;1997
241;TLYPVTP GJTZKWK;9.283113092;1934
242;GELZGQS YBULTUL;2.156944196;1944
243;FAJMQWX BXOCFZR;5.902436989;2013
244;DQZEERD KHXLUVA;0.696493712;1931
245;UFEKCXX XHGTUPO;2.415561124;1982
246;ZEZTDMB ZILDMPH;1.644825598;1961
247;BJMSRBV UETUFVD;3.64991586;1994
248;DXBJOKH BQZHAYL;1.34443212;1943
249;AZIBUZT XZZYROM;3.664666851;1908
250;OQOWXNQ PTGKDLV;6.833797267;1949
251;IPBABKJ AEYDPFC;1.918883361;1994
252;AGMUVMQ AVTBDAD;5.941433707;2006
253;JLOLPUS DDJIUZH;3.349826212;1911
254;BOFNQVH WADDKBE;6.174970134;1998
255;ZNIDIMJ AFXZRKE;0.007504287;1997
256;CPQVPZE JEOMGTA;8.598613171;1959
257;HXHPOIG GJLISYJ;0.975998485;1941
258;GEOXOQJ HHTFSOF;3.424254442;1927
259;RZCCPMQ HPFGQCW;6.327756189;1925
260;UKLRYEX QMRNCVR;8.638891972;1951
261;SURPLAK AOKKDQQ;5.823851548;2013
262;FFUMJFV QACZCPM;6.416737098;1930
263;SBSBZYB WSGEKBL;4.077632014;1927
264;DLWKROW IXIOTXL;3.062353921;2011
265;SWYGWBJ YWFCTVI;6.535081024;2012
266;URGOSFH TOMCKQN;4.737216779;1985
267;LQSCPFN VGEEBXK;0.746026758;1945
268;VPNKXYN IVYGLAU;3.160142206;1965
269;EDFBQVS XNNBUIH;0.585008589;1973
270;RSRBYEN JJQGIJF;4.741334222;1966
271;NUPIUIC TCIFQMJ;3.711526444;1968
272;JQQURTH MGXLREA;3.054374123;1902
273;VYOBHAM IPSQZKR;1.052122938;1946
274;WMKGSIS IQEPIZK;2.077687549;1917
275;QSGAPDZ RNTMZKH;9.282149627;1924
276;QUFWJDX SBIQBOW;6.630428569;2016
277;HKEUUIL BKGVISG;9.049897512;2002
278;AHCXOBQ XCMXNAW;9.872792223;1948
279;FILBFHI CRVCHXO;1.019284548;1924
280;HTVXTUR KJGRHDG;4.356932537;1922
281;CXVPKIG OUILYMK;7.10305865;1966
282;RRHMRJY SUFGNVE;0.449866183;1905
283;KXWBART AQUYFEN;3.76060161;1951
284;EBFQYMM JQILHYZ;1.552191954;1913
285;RGJUAGB ZIVAUMV;7.413309649;2006
286;CTHAOGU EHTRCIE;0.217527106;1955
287;TASRXBB KLGYNOE;5.193652641;1990
288;RUHICUU YFWRBCT;5.156927787;2019
289;NXWXTCJ FUIVKNP;5.020514852;1922
290;DASDYHH STUOSIN;7.514445281;1973
291;JBSSXBZ GWNORBD;6.79475098;2014
292;HLVCMUU HOJZSHL;8.561816233;1945
293;DIRQUEX LZLPYTK;4.666837458;2018
294;YRZJPUI AQGYYOQ;8.561788937;2001
295;ODJWQLL BTBNHIZ;5.603199544;1960
296;QPROWCL JMDJRJN;9.005139561;2018
297;TUVYQOT NFRSRBQ;6.445390738;1923
298;HMUAFER BGUJAPQ;1.226075329;1929
299;OIDITJW UPRHZVP;2.454018397;1930
300;ZOCSVDD EBENFLB;8.38510686;1968
301;TEKDAFI CXQPNJZ;6.583934434;1983
302;GXBNFQC CTKVZJR;3.0081494;1902
303;GRDVLMU MRSCWLG;5.970499827;2006
304;WTQMAHI ESCBDGO;4.960792087;1963
305;BHUGUJZ HVBTXVU;9.850113521;1952
306;MWUKLDI DMISYPR;9.12192299;1957
307;JVYXCVP JCFMIML;6.523545821;1940
308;KXDCJSC NIJUTTY;1.662428408;1932
309;FFBQTFD HKKVFQT;1.804584763;1960
310;IBZTRXF GEAQSHV;7.88058056;1911
311;SFSVLPQ IWXJCZI;8.253145291;1924
312;CYASBSQ ZANHAFL;9.706105446;1904
313;QSPPUGM BKIGOQB;8.185202619;2010
314;TUANXZR ATOHMZL;1.201382185;1954
315;TPVDQIT RRYNPBK;2.270834567;1964
316;TOGMJQV TFUVGCW;0.214439265;1958
317;FPTAZAT ZCRUKLU;4.669526631;1945
318;RUPAAVG YTDMZVJ;6.418554849;1903
319;RDCOKCK AOELOXD;1.849770419;1969
320;XUBIQIJ AIWXPPD;3.557739443;1955
321;TOGDZQO XOMJVCB;9.903768482;1908
322;JZPKOLY UNYZTBM;3.917897984;2017
323;LDBGFQK ETLMLNY;8.8486281;1984
324;XIUHFSG EFKGRDB;1.808835957;2006
325;ANMYRTN ORLKMYQ;7.897709128;1999
326;VPLGBIF PAEKUSN;7.289555727;1928
327;LOJQQAB EJJBNRV;2.133817767;1928
328;HRGSHQM KAUSVLU;3.119721116;1919
329;KKAHKYC TGLQKSC;5.142247713;2010
330;PSJFGAT TRYEYLR;8.720854934;1998
331;OENARRR WRZMQBK;5.396456326;1985
332;OAAJLTZ SWLHOEU;6.481872295;1901
333;REACWIK TCZOJNM;6.353945246;1910
334;PGFJEYK RENJQHQ;4.114424527;1922
335;JTOARPP AMTPNIQ;3.466896892;1909
336;YYXCLQF BRZAPPO;9.399406391;2009
337;IYVSJGO GHUGBRD;6.432758611;1949
338;CNRJMCC KDXOBKR;8.617861337;1931
339;LZTUCAQ OZZPILP;8.211559137;1958
340;ATKCRXE HFENOIQ;1.194904443;2019
341;KYIDEHI OIUZYNE;7.696697367;1935
342;SIAHPYG JXAVKRK;7.41579429;1942
343;ODUVRZE ZWHKMKU;0.272485424;2019
344;UDBHLUW OESTGTE;3.730657491;1915
345;ETUVQLH GSNFGGJ;7.960838858;2007
346;MCHULRD EZYGPLO;1.63828857;1938
347;XRVNLQF COXJGUF;7.349566893;2007
348;ZMYUYCF ZQGXWGS;5.889191676;1964
349;ZQGVZMM JIUYWON;6.547053293;1975
350;FBRQKXZ NZSHQYB;3.116683244;2012
351;VVJZSGZ HXLUSVQ;8.128730873;1920
352;ROZSROW SUIFLJX;6.806325891;1968
353;LUZGTZF NEYQDDE;2.181497056;1992
354;BLWMLSY VPRHGIG;0.035182855;1982
355;YMJSYWU THOOXNJ;3.727281988;1937
356;YIQRQKL FOFPJRU;0.268125635;1978
357;WWNONHZ DAVQAYO;7.651926565;2001
358;PGPFJYQ IZBNGGU;4.855341282;1907
359;TIODCFN HQEPBML;0.467677577;1906
360;DVQTHVQ ADWODEG;2.007530028;1955
361;SWHAFTR EIRKQYP;8.821109438;1964
362;TQFMCGX XQBRPWA;1.948414081;1933
363;RSYSLTL EHLRMUC;9.31518215;1926
364;IYAPYAQ UEMWZBJ;2.391993306;1938
365;MFLWRKE MWBGMDL;9.330359693;1969
366;QCJESKT ZAAOLOI;7.246609656;1911
367;XJSVPDQ UJVITVJ;4.366288286;1983
368;XMJYFHY CTTNTCF;4.013491394;1924
369;TKOZMCC SCZWVKR;1.438728052;1908
370;SPICFKS OOPZMZE;2.699729915;1957
371;DABUVFI HJBZUHR;5.700106225;2019
372;ZEESWCB BHTETDL;8.927486397;1943
373;CZGUMRJ HMZKMZH;4.068774442;2015
374;NUQDUOV BKLXPRC;6.598510388;2007
375;USCDGPI VIJSKMR;4.132838638;1985
376;XBWEYAH BAJXOHQ;8.806541758;1918
377;WFJOMJJ SWMWNDK;9.476490246;2014
378;PACUKBW JQLVNCH;9.266231452;1977
379;MSPHEAZ AHRQCGR;3.605126086;2005
380;BDLJCWV AAIJDQM;9.924686308;1910
381;QOORLXJ HLIXTDL;1.138430237;1994
382;FOSNOXH BOBWVEV;6.808171117;1985
383;NICAILS NMYYNRN;1.553815736;1958
384;NLMFQRK GJIYEOX;6.280051171;1925
385;MUHIEKJ DQCZIRP;4.855648683;1950
386;QEXTSJR WKDOWDD;6.794760564;1942
387;AKDYVPI HNBEWHX;2.384698952;1966
388;NPRSZVS BFHTUVU;8.802875638;1967
389;LBUXMUA JICSLXP;0.813942201;1945
390;GBSOKJP PVMKCFE;2.462292314;1932
391;WGVBCHA ZMNKJCT;2.436173394;1947
392;JYDGZUE YMFNIMO;5.851436184;1930
393;FWNPZFF HXAFCKH;0.719260741;1903
394;BMHABQG TLRQTLE;4.745124055;1984
395;WOCIPRE GWVQXAW;1.814740844;1964
396;HNCJQVK REEAPIK;1.551680438;1990
397;MSQAXBW LTKBTBT;3.846791098;1955
398;WAWKWCD PTNMQNO;4.61772915;1947
399;FKZEHDZ LMEOWNJ;5.134390596;2012
400;XURMMCN JKDXMRJ;6.508054027;1921
401;TEYQMCT WWLQILI;8.417314731;1905
402;REVLDDO WPXRINN;9.847140454;2012
403;ABIBIYJ SVTZOCO;6.372515035;1910
404;CTZOAKU SHRIQBN;9.295466993;1928
405;YESRZOC BRSMEHS;4.174897536;1961
406;GNGSPUP TDPCUDL;4.642829861;1944
407;TTMPFWZ VDXPDWS;3.256365227;1941
408;XRGHJJI GBCSLEX;5.039733977;1949
409;PUQBREA YOVIILT;8.626202719;1921
410;DXSTLQL NESECGW;6.576945135;1957
411;CWBYPKR DRZZUAP;5.125412486;1964
412;WVJYICX AZELLSS;7.970252742;1941
413;JAKGFVU FDHUIQP;8.454265399;1954
414;CVFTNRG TZGJYCO;0.522379015;1960
415;YHXPRGA RPVWSFB;7.01229287;1975
416;JOATJJW NSLMHJI;8.0719665;2000
417;URJKCFQ LCPBABQ;9.211135064;1925
418;XIVSFUW MCPNCFE;4.204868672;1909
419;HUJXHPT KYOTVMR;0.085965472;1903
420;YQKJVXG VYLQINX;4.584635227;1924
421;UWALGXR GFLGXBK;7.258069368;1930
422;ZEAPWHD WNYZPPA;5.251373609;1948
423;DAIIHFL THTYBLK;3.646297616;1976
424;ORFSXMZ WSNLYPI;1.408668944;1970
425;UMVEMWR MVMJCQV;0.282297287;1957
426;NCGDEDT JRMUOFT;6.890406717;1917
427;UHFKECV XUDOIXE;1.107996541;1958
428;FAQVFWC DEBZDKL;4.397779556;1989
429;WNUQZYL FFRZHTC;5.283833507;1945
430;TRZTWUB WEDLEQF;6.896600741;1906
431;DYIWCVF OANHDLY;5.802468162;1968
432;QRKEEEU YENREGU;4.538422982;2017
433;CMHRSJG JKMKESS;3.458309798;1998
434;DKEYPFM OLZLTSL;0.433519126;2014
435;UEAFFIM KLHLMMI;3.693197135;1902
436;RNVRFLV NWVWAES;6.25071645;1964
437;ZENSYSR XEEAVIO;6.043272553;1940
438;RFQZFYH PPMYMSQ;3.783065236;1976
439;YHVKJZP RDVUEWG;4.429176786;2019
440;KGSBVAD MDSAVDF;7.257374827;1982
441;HHHOYEY TTYFCHF;4.14674179;1913
442;HVYRVJD WEVHQEG;7.224802103;2017
443;NGVRSCS VBVLAEP;7.44706974;1981
444;SKLAQYR AJKBHAI;9.876908126;1998
445;DIVEOJO BNNTEIZ;4.497479033;1948
446;NYFBABT KJHYYUX;3.389175113;2011
447;FGTTBOG NGWLQKE;9.341044751;1926
448;OQZUSXG MVBLFUH;1.104986846;1988
449;LDEWLJZ LZPEKPM;2.036481207;1904
450;IQEHOGJ YUBAHZB;5.653059999;1987
451;MVEUJZT JERCDJZ;5.579721571;1920
452;FTZGPNE XKTDZMJ;4.920245497;1932
453;CHVWNIZ TTRHPYC;7.787044915;2011
454;UXYQFTG NJDPKEK;9.510175065;1992
455;CQVWPCZ FFPMBDT;0.5471339;1997
456;XXGVOOP DWVSCDJ;4.012801668;1945
457;NZZCXSA OMAOWLZ;6.92524298;1996
458;SIUEGMF EUSZHVT;2.896680815;1999
459;FPVCQVW QNRMYAK;0.045286977;1948
460;DKDLYQX XCKOKXM;3.437638797;1950
461;OCSPWCL BVDCZZE;0.665119179;1982
462;WZOKVUW DCUWVJP;1.916768461;1955
463;BASIJJX WKTLXRH;8.193919759;1921
464;DCMXEMR QUPCXBM;5.530260705;2017
465;AACNQIF TNTIMGR;5.818590045;1950
466;IFPOAHU EQBTIKQ;1.139781221;1900
467;BNAMFII EAAFQKE;1.586389228;1961
468;YCYLGEV FSOPRFV;6.032636016;2006
469;WACSNEF CABDYVW;4.835136409;1961
470;FFYLTPQ HUSXWLO;9.186827134;1934
471;SYSZIRV OBQWKDY;0.974112675;1979
472;ZPIVUTG OFVEGNH;8.177695054;1926
473;GNIALAQ KHXVSLV;5.580808641;1991
474;JHFJULE LUYKAHY;2.606995159;2014
475;ZXEYPFW VPUAREN;2.984249815;2001
476;LIGKYMB PMEMBOO;3.459877761;1975
477;WZSDJOZ CUGVTMM;7.602898982;1960
478;NCNIKBM XWAGFSH;0.389003898;1924
479;ASDUZEX HLQPVFJ;6.109883127;1965
480;WOIDQIU GFHPRTL;3.583038483;1970
481;VTXJRTE ZFTCSRT;9.440235173;2018
482;UWOETEW BCJGBNX;3.424664514;1936
483;MYFMRIP ZBZCLBT;7.122053616;1930
484;MSASDKI WTPGOFC;1.970027262;1907
485;MYFBJVT VWGXTNI;4.004230183;1934
486;ROCOIRB WTLHEYZ;2.722710788;1996
487;GKXDJPH BJYJRNF;2.615942795;2003
488;DYJBKAG BSMLNEC;1.357731814;1911
489;HHWEJXD KEXRJKN;9.984666884;1946
490;NAGWWUL EPJZQVT;1.666831884;1999
491;FWEPIIZ ALGTNQA;2.035221997;1977
492;INVHLMV DTGFKUT;5.735230066;1938
493;KOEDXQE OHMPDXV;7.261858457;2004
494;LADZQFP QMQAUZT;8.641149184;1944
495;AMVWQQL ZJASQDE;3.364400939;1930
496;TAQZDLT GIZEXJK;2.357911222;1980
497;OWCUVXW DKIAPTA;0.022794984;1910
498;XRKVUAR UITWYAC;9.318036819;1907
499;PCQVHQT GRMVCZO;2.862943966;1946
500;WYCSCNY LIMNHQF;6.782488378;1977
501;RODKYPS NKWVPPA;6.11394817;2010
502;GIMBJPO CEDDEET;7.871414019;1987
503;TVJVVBA ZZTCHWY;3.030621678;1970
504;MWKKHFK QNIMMQC;6.1094077;1931
505;GXTPBVP WIWVIST;6.759864592;1921
506;DMUVCOO VIQWOVR;4.60563404;1972
507;QREYWUK GDNVFCR;4.390495322;1945
508;DIVJQAY VNQMJVD;5.285793528;1918
509;OMGZCKU LPCYXES;2.352020443;1910
510;LSMREWB NILJVFS;2.483246991;1946
511;EUSNXRS RNPBYAK;1.482568132;2010
512;RUMHNBD QUYXSMW;9.377480526;1936
513;QJOHMFA CTBEAGT;7.71009777;1961
514;RVMBULM EQVLMHX;8.727234;1980
515;FJCVGQZ JPRHOND;7.978771292;1916
516;ZQLGVLJ RAEZEAF;9.851340515;1948
517;BVVVSXN OPQYIGC;7.103140801;1927
518;ECEETKM SYDONCJ;0.931436421;1926
519;ACXMRFF MYDSZBE;8.266693146;1997
520;SJUKUVZ BPEYPDT;5.977186461;1968
521;KRFVDDC PYLJFYO;2.090203467;1995
522;TRQRVLJ IYGXXGC;2.61890681;2011
523;LPIUKAI OTTUHII;5.224142133;1924
524;TGKYFWY SVWHRUV;0.876629044;1910
525;TRCDRSQ RRLAWLA;5.05414187;1979
526;YOAQLFB GUHPFBB;8.829112348;1963
527;AZDHODA AGJYCWU;7.566490194;1994
528;LQETYBH RAQZNPF;8.35986301;1998
529;TXDDILR DDMJIZQ;1.557327785;2012
530;OYYJNLY ORWJTWI;9.360353739;1901
531;WRHCYDS BUVSRPB;9.519586758;1917
532;DSBZWHK QDPLBNO;3.591677933;1914
533;YBMPFXM HCRSHAJ;4.241048232;1950
534;CNYABFT ZRBAFFV;1.028983356;1935
535;MNNFTVV EAUJLYH;8.708119956;2005
536;WMIQWLD UEXYFLU;2.930085557;2005
537;NFGVQRH HTPTAOF;6.197403293;1929
